,Order_Date,Order_ID,Region,City,Customer_Type,Product_Category,Quantity,Unit_Price,Discount_Percent,Revenue
0,2021-06-25,200000,East,Ahmedabad,New,Clothing,1.0,1371.52,5.0,1302.944
1,2021-07-16,200001,East,Kolkata,Returning,Food,6.0,3343.51,0.0,20061.06
2,2022-06-22,200002,Central,Pune,New,Food,4.0,24849.97,10.0,89459.892
3,2022-05-18,200003,South,Pune,New,Furniture,7.0,30297.19,15.0,180268.2805
4,2022-08-03,200004,Central,Delhi,Returning,Accessories,8.0,8876.0,15.0,60356.8
5,2021-07-31,200005,Central,Delhi,Returning,Electronics,5.0,7676.97,0.0,38384.85
6,2023-07-09,200006,East,Delhi,Returning,Food,5.0,34430.69,25.0,129115.0875
7,2022-09-08,200007,North,Mumbai,Returning,Food,4.0,40229.84,20.0,128735.488
8,2021-12-15,200008,North,Hyderabad,New,Clothing,2.0,529.5,10.0,953.1
9,2021-07-05,200009,West,Mumbai,New,Food,7.0,7358.44,0.0,51509.08
10,2022-02-03,200010,West,Chennai,Returning,Electronics,7.0,24682.04,20.0,51509.08
11,2022-06-20,200011,North,Bengaluru,Returning,Clothing,2.0,429.0,20.0,686.4
12,2022-08-08,200012,North,Bengaluru,Returning,Clothing,6.0,9211.33,0.0,55267.98
13,2021-12-12,200013,North,Delhi,Returning,Electronics,7.0,16066.22,10.0,101217.186
14,2022-01-02,200014,West,Pune,Returning,Electronics,7.0,27242.53,25.0,101217.186
15,2022-07-09,200015,North,Delhi,New,Furniture,1.0,12222.3,10.0,11000.07
16,2023-01-01,200016,North,Hyderabad,New,Accessories,4.0,459.75,15.0,1563.15
17,2023-06-24,200017,East,Chennai,New,Accessories,4.0,38685.28,10.0,139267.008
18,2021-06-17,200018,North,Hyderabad,New,Clothing,7.0,35090.68,10.0,245634.76
19,2023-09-26,200019,South,Bengaluru,New,Clothing,2.0,26763.26,10.0,53526.52
20,2021-03-10,200020,Central,Ahmedabad,New,Food,6.0,27607.91,5.0,157365.087
21,2022-03-09,200021,North,Kolkata,New,Accessories,5.0,29503.21,5.0,140140.2475
22,2023-06-15,200022,West,Hyderabad,Returning,Furniture,7.0,44918.72,25.0,235823.28
23,2022-01-27,200023,West,Kolkata,Returning,Food,7.0,6764.7,25.0,235823.28
24,2023-07-30,200024,West,Hyderabad,Returning,Furniture,3.0,6464.18,20.0,15514.032
25,2022-05-28,200025,West,Delhi,Returning,Food,2.0,47649.32,25.0,71473.98
26,2021-03-17,200026,Central,Delhi,Returning,Clothing,6.0,30297.19,20.0,145426.512
27,2023-04-04,200027,West,Bengaluru,Returning,Clothing,6.0,47358.33,15.0,145426.512
28,2021-09-08,200028,Central,Mumbai,New,Clothing,9.0,48657.49,5.0,416021.5395
29,2021-01-07,200029,Central,Bengaluru,New,Accessories,3.0,46357.76,10.0,125165.952
30,2023-02-27,200030,West,Ahmedabad,Returning,Furniture,3.0,1928.25,15.0,4917.0375
31,2022-03-21,200031,West,Pune,New,Clothing,4.0,43009.0,0.0,172036.0
32,2021-02-14,200032,North,Delhi,New,Food,9.0,41894.01,20.0,301636.872
33,2022-12-05,200033,South,Hyderabad,Returning,Food,1.0,22803.0,20.0,22803.0
34,2021-11-22,200034,South,Hyderabad,New,Accessories,2.0,1357.94,25.0,2036.91
35,2023-04-05,200035,South,Pune,Returning,Clothing,6.0,24680.23,20.0,118465.104
36,2021-06-02,200036,West,Delhi,Returning,Accessories,4.0,7676.97,20.0,30707.88
37,2021-07-03,200037,East,Mumbai,New,Clothing,4.0,35520.71,10.0,127874.556
38,2023-08-08,200038,West,Pune,Returning,Accessories,8.0,34036.26,0.0,272290.08
39,2021-04-23,200039,South,Hyderabad,New,Accessories,1.0,48150.67,20.0,38520.536
40,2023-02-03,200040,East,Bengaluru,Returning,Accessories,7.0,4817.85,25.0,25293.7125
41,2021-07-09,200041,Central,Kolkata,Returning,Accessories,4.0,49424.72,10.0,177928.992
42,2023-08-19,200042,North,Hyderabad,New,Accessories,9.0,2942.53,0.0,26482.77
43,2021-10-18,200043,North,Ahmedabad,New,Furniture,9.0,6764.7,15.0,26482.77
44,2021-11-09,200044,West,Bengaluru,Returning,Accessories,9.0,44949.73,0.0,26482.77
45,2021-07-21,200045,West,Hyderabad,Returning,Food,1.0,7676.97,5.0,7293.1215
46,2022-04-08,200046,West,Mumbai,New,Clothing,8.0,16066.22,5.0,122103.272
47,2022-07-05,200047,East,Kolkata,Returning,Accessories,8.0,47358.33,5.0,122103.272
48,2023-02-12,200048,West,Bengaluru,New,Accessories,7.0,31329.17,25.0,164478.1425
49,2022-05-10,200049,North,Ahmedabad,Returning,Accessories,7.0,12018.78,15.0,71511.741
50,2021-05-18,200050,East,Delhi,Returning,Accessories,8.0,885.54,25.0,5313.24
51,2023-05-06,200051,East,Ahmedabad,New,Accessories,4.0,23148.03,5.0,87962.514
52,2022-04-29,200052,West,Bengaluru,Returning,Clothing,3.0,27242.53,15.0,69468.4515
53,2021-07-15,200053,West,Delhi,Returning,Accessories,8.0,48657.49,10.0,350333.928
54,2021-03-14,200054,West,Mumbai,New,Furniture,4.0,48292.22,10.0,173851.992
55,2023-05-02,200055,Central,Bengaluru,New,Clothing,5.0,44764.05,20.0,179056.2
56,2023-08-03,200056,Central,Ahmedabad,New,Food,4.0,48150.67,20.0,192602.68
57,2021-09-15,200057,North,Delhi,New,Food,3.0,48292.22,25.0,108657.495
58,2022-12-06,200058,South,Kolkata,New,Furniture,2.0,25249.35,15.0,42923.895
59,2022-02-05,200059,South,Delhi,New,Furniture,1.0,44476.87,20.0,35581.496
60,2022-01-10,200060,North,Delhi,New,Furniture,1.0,26763.26,20.0,35581.496
61,2023-07-17,200061,Central,Kolkata,New,Accessories,1.0,27630.42,15.0,23485.857
62,2021-12-16,200062,North,Mumbai,New,Accessories,6.0,8876.0,10.0,47930.4
63,2023-07-30,200063,Central,Mumbai,Returning,Clothing,9.0,47419.94,20.0,341423.568
64,2022-08-28,200064,Central,Kolkata,New,Furniture,2.0,190.13,20.0,304.208
65,2023-02-04,200065,Central,Ahmedabad,Returning,Furniture,9.0,31329.17,15.0,239668.1505
66,2022-08-07,200066,West,Kolkata,New,Furniture,3.0,16762.63,10.0,45259.101
67,2021-10-07,200067,South,Pune,Returning,Food,3.0,34575.21,10.0,45259.101
68,2022-06-07,200068,Central,Pune,New,Food,6.0,6764.7,10.0,36529.38
69,2023-01-16,200069,North,Pune,New,Accessories,7.0,31367.81,0.0,219574.67
70,2023-03-15,200070,East,Delhi,New,Accessories,5.0,2739.55,25.0,10273.3125
71,2022-03-25,200071,Central,Bengaluru,New,Clothing,7.0,23152.83,10.0,145862.829
72,2021-11-14,200072,North,Mumbai,New,Clothing,7.0,7570.71,0.0,52994.97
73,2022-01-27,200073,North,Pune,Returning,Furniture,4.0,29548.32,15.0,100464.288
74,2021-06-01,200074,West,Kolkata,Returning,Electronics,6.0,29503.21,15.0,150466.371
75,2021-04-03,200075,West,Kolkata,New,Accessories,6.0,1405.66,15.0,150466.371
76,2023-01-30,200076,East,Kolkata,New,Accessories,9.0,190.13,25.0,1283.3775
77,2021-08-13,200077,South,Ahmedabad,New,Accessories,9.0,34459.76,25.0,1283.3775
78,2022-10-24,200078,East,Bengaluru,Returning,Electronics,3.0,28245.97,10.0,76264.119
79,2021-12-23,200079,East,Pune,New,Food,6.0,42969.65,0.0,257817.9
80,2023-07-21,200080,South,Hyderabad,New,Accessories,6.0,11261.43,5.0,64190.151
81,2022-04-27,200081,South,Mumbai,New,Accessories,6.0,7417.97,25.0,64190.151
82,2022-08-03,200082,South,Hyderabad,Returning,Accessories,6.0,48246.23,0.0,64190.151
83,2023-06-11,200083,West,Pune,New,Accessories,7.0,46357.76,10.0,292053.888
84,2021-08-08,200084,West,Kolkata,New,Clothing,6.0,561.25,10.0,3367.5
85,2022-04-27,200085,East,Hyderabad,Returning,Clothing,5.0,47155.69,10.0,235778.45
86,2021-01-20,200086,North,Chennai,Returning,Food,5.0,7494.9,0.0,37474.5
87,2023-07-13,200087,West,Ahmedabad,New,Accessories,5.0,1371.52,5.0,37474.5
88,2022-06-01,200088,Central,Ahmedabad,New,Clothing,1.0,46357.76,25.0,34768.32
89,2023-02-27,200089,Central,Ahmedabad,Returning,Electronics,4.0,7676.97,0.0,30707.88
90,2021-02-03,200090,Central,Delhi,New,Accessories,2.0,41203.96,5.0,78287.524
91,2021-05-04,200091,Central,Kolkata,Returning,Accessories,5.0,7494.9,10.0,33727.05
92,2021-10-14,200092,West,Ahmedabad,Returning,Electronics,9.0,11591.23,10.0,93888.963
93,2022-11-29,200093,North,Mumbai,Returning,Electronics,9.0,1464.33,5.0,93888.963
94,2023-01-12,200094,South,Hyderabad,Returning,Food,1.0,42481.96,20.0,33985.568
95,2023-04-22,200095,East,Pune,New,Food,1.0,48246.23,10.0,33985.568
96,2023-09-17,200096,North,Hyderabad,Returning,Accessories,4.0,23152.83,25.0,69458.49
97,2023-09-05,200097,West,Delhi,Returning,Furniture,9.0,25039.55,0.0,225355.95
98,2023-06-15,200098,Central,Kolkata,New,Accessories,4.0,43946.28,25.0,131838.84
99,2022-02-20,200099,South,Mumbai,Returning,Food,4.0,31449.34,0.0,125797.36
100,2021-05-11,200100,South,Mumbai,New,Food,9.0,24682.04,10.0,199924.524
101,2021-03-25,200101,East,Hyderabad,New,Electronics,3.0,32264.29,5.0,91953.2265
102,2023-08-05,200102,Central,Ahmedabad,New,Accessories,3.0,3925.39,5.0,91953.2265
103,2022-02-07,200103,South,Hyderabad,New,Electronics,9.0,31329.17,5.0,281962.53
104,2021-01-22,200104,West,Pune,Returning,Electronics,4.0,29503.21,5.0,112112.198
105,2022-09-24,200105,East,Chennai,New,Clothing,9.0,43946.28,0.0,395516.52
106,2022-08-03,200106,Central,Hyderabad,New,Food,5.0,30796.9,0.0,153984.5
107,2021-07-23,200107,Central,Hyderabad,New,Furniture,3.0,41692.24,25.0,93807.54
108,2023-08-13,200108,South,Bengaluru,New,Furniture,9.0,29476.35,5.0,252022.7925
109,2021-02-17,200109,Central,Bengaluru,New,Clothing,4.0,27242.53,5.0,103521.614
110,2023-02-24,200110,Central,Delhi,New,Food,1.0,7570.71,0.0,7570.71
111,2022-06-09,200111,Central,Delhi,New,Furniture,6.0,44476.87,0.0,266861.22
112,2021-12-16,200112,Central,Hyderabad,Returning,Furniture,8.0,35090.68,0.0,280725.44
113,2021-04-18,200113,South,Bengaluru,Returning,Food,2.0,6764.7,10.0,12176.46
114,2023-01-16,200114,Central,Chennai,Returning,Furniture,6.0,34798.88,10.0,187913.952
115,2022-01-29,200115,East,Kolkata,Returning,Accessories,6.0,48657.49,15.0,248153.199
116,2023-04-25,200116,East,Bengaluru,Returning,Clothing,7.0,5303.18,10.0,33410.034
117,2023-04-16,200117,South,Delhi,New,Accessories,7.0,5739.99,25.0,33410.034
118,2022-09-15,200118,South,Chennai,Returning,Furniture,8.0,41264.36,25.0,247586.16
119,2022-10-17,200119,Central,Delhi,New,Electronics,1.0,5303.18,20.0,4242.544
120,2022-09-29,200120,Central,Kolkata,Returning,Furniture,3.0,48292.22,20.0,115901.328
121,2021-10-04,200121,South,Bengaluru,Returning,Food,3.0,27493.61,20.0,65984.664
122,2021-11-06,200122,South,Chennai,New,Furniture,3.0,31940.94,0.0,65984.664
123,2023-07-01,200123,South,Hyderabad,New,Furniture,4.0,44949.73,0.0,179798.92
124,2023-04-08,200124,Central,Kolkata,New,Accessories,2.0,49339.75,10.0,88811.55
125,2021-02-05,200125,East,Delhi,Returning,Clothing,6.0,10417.23,5.0,59378.211
126,2023-03-28,200126,East,Bengaluru,New,Clothing,6.0,48246.23,25.0,59378.211
127,2021-09-18,200127,Central,Mumbai,Returning,Furniture,6.0,10471.68,10.0,56547.072
128,2023-03-23,200128,Central,Mumbai,Returning,Clothing,5.0,40229.84,10.0,181034.28
129,2022-04-02,200129,South,Bengaluru,Returning,Accessories,5.0,13345.54,10.0,181034.28
130,2022-04-20,200130,East,Kolkata,Returning,Furniture,1.0,38357.85,25.0,28768.3875
131,2023-02-02,200131,Central,Bengaluru,New,Furniture,5.0,48150.67,15.0,204640.3475
132,2022-07-21,200132,West,Bengaluru,New,Electronics,1.0,14553.86,15.0,12370.781
133,2022-07-10,200133,West,Chennai,Returning,Food,2.0,645.09,0.0,1290.18
134,2021-08-04,200134,West,Bengaluru,Returning,Furniture,5.0,34369.73,10.0,154663.785
135,2023-09-01,200135,Central,Pune,New,Clothing,8.0,17036.91,25.0,102221.46
136,2022-03-11,200136,West,Bengaluru,Returning,Furniture,3.0,47804.19,10.0,129071.313
137,2021-02-09,200137,Central,Bengaluru,New,Clothing,2.0,45936.76,15.0,78092.492
138,2021-05-12,200138,North,Delhi,Returning,Electronics,2.0,45683.08,25.0,78092.492
139,2022-02-18,200139,Central,Delhi,Returning,Accessories,9.0,24682.04,25.0,222138.36
140,2023-06-28,200140,Central,Hyderabad,Returning,Furniture,9.0,28294.94,10.0,222138.36
141,2022-04-06,200141,North,Mumbai,Returning,Accessories,6.0,49339.75,10.0,296038.5
142,2023-04-28,200142,East,Pune,Returning,Food,6.0,47155.69,15.0,296038.5
143,2023-03-09,200143,North,Mumbai,Returning,Accessories,1.0,29476.35,20.0,23581.08
144,2022-10-11,200144,South,Pune,New,Accessories,6.0,8969.87,25.0,40364.415
145,2022-07-21,200145,West,Ahmedabad,New,Furniture,6.0,32287.38,20.0,40364.415
146,2022-11-10,200146,West,Ahmedabad,Returning,Furniture,7.0,25527.5,25.0,134019.375
