customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST0001,34,Male,North,Bachelor,Salaried,62000,15000,Home,710,0,42,24.8,2021-03-14,0
CUST0002,28,Female,South,Master,Self-Employed,88000,22000,Car,735,1,67,31.5,2020-11-02,0
CUST0003,45,Male,East,High School,Salaried,54000,12000,Education,668,2,36,28.2,2019-06-25,0
CUST0004,39,Female,West,Bachelor,Unemployed,null,18000,Personal,602,4,21,44.7,2022-01-10,1
CUST0005,52,Male,North,PhD,Salaried,145000,40000,Home,805,0,89,19.4,2018-08-19,0
CUST0006,23,Female,South,High School,Student,24000,6000,Education,640,1,18,35.1,2023-02-28,0
CUST0007,31,null,East,Bachelor,Salaried,71000,16000,Car,690,2,53,null,2021-09-12,0
CUST0008,48,Male,West,Master,Self-Employed,98000,30000,Business,715,3,78,38.6,2020-04-05,0
CUST0009,36,Female,North,Bachelor,Salaried,67000,null,Personal,682,1,45,27.3,2022-07-21,0
CUST0010,59,Male,South,High School,Unemployed,32000,14000,Medical,560,6,12,61.8,2019-12-15,1
CUST0011,42,Female,East,Master,Salaried,112000,25000,Home,748,0,74,22.1,2018-03-30,0
CUST0012,27,Male,West,Bachelor,Self-Employed,76000,19000,Business,null,2,51,36.9,2023-05-16,0
CUST0013,33,Female,North,High School,Salaried,49000,11000,Car,635,3,null,40.2,2021-01-07,1
CUST0014,55,Male,South,PhD,Salaried,180000,50000,Home,830,0,105,17.8,2017-10-11,0
CUST0015,29,Female,East,Bachelor,null,58000,13000,Education,672,1,40,29.7,2022-09-01,0
CUST0016,46,Male,West,Master,Self-Employed,92000,45000,Business,610,5,63,58.5,2020-06-18,1
CUST0017,38,Female,North,Bachelor,Salaried,74000,17000,Personal,705,0,56,25.4,null,0
CUST0018,24,Male,South,High School,Student,21000,7000,Education,590,4,15,52.6,2024-01-22,1
CUST0019,41,Female,East,Master,Salaried,101000,28000,Home,760,1,82,23.6,2019-09-09,0
CUST0020,63,Male,West,Bachelor,Retired,41000,10000,Medical,655,2,27,33.8,2018-12-03,0
CUST0021,30,Female,North,Bachelor,Salaried,68000,15500,Car,695,1,49,30.4,2021-05-27,0
CUST0022,44,Male,South,Master,Self-Employed,125000,60000,Business,720,2,96,42.1,2017-07-14,0
CUST0023,37,Female,East,High School,Unemployed,29000,12500,Personal,540,7,10,66.3,2020-02-02,1
CUST0024,26,Male,West,Bachelor,Salaried,null,9000,Education,675,1,34,26.5,2023-08-05,0
CUST0025,50,Female,North,PhD,Salaried,155000,38000,Home,812,0,91,18.9,2018-05-20,0
CUST0026,32,Male,South,Bachelor,Self-Employed,83000,21000,Car,700,null,58,34.6,2022-03-11,0
CUST0027,47,Female,East,Master,Salaried,108000,32000,Home,745,1,76,24.9,2019-01-29,0
CUST0028,22,Male,West,High School,Student,18000,5000,Education,575,5,13,57.2,2024-04-13,1
CUST0029,35,Female,North,Bachelor,Salaried,72000,16000,Medical,688,2,48,31.1,2021-11-19,0
CUST0030,40,Male,South,Master,Salaried,95000,27000,Personal,730,0,70,21.6,2020-10-07,0
CUST0031,58,Female,East,Bachelor,Retired,46000,11500,Medical,660,2,31,35.8,2017-04-18,0
CUST0032,43,Male,West,High School,Self-Employed,69000,24000,Business,615,4,44,49.7,2022-06-24,1
CUST0033,31,Female,North,Master,Salaried,97000,22000,Home,752,0,69,20.3,2019-08-12,0
CUST0034,49,Male,South,Bachelor,Salaried,86000,null,Car,705,1,57,29.1,2020-12-27,0
CUST0035,27,Female,East,Bachelor,Unemployed,26000,8000,Personal,585,5,16,null,2023-10-03,1
CUST0036,54,Male,West,PhD,Self-Employed,210000,75000,Business,790,1,118,32.5,2016-11-06,0
CUST0037,36,Female,North,High School,Salaried,52000,12000,Education,645,2,39,36.4,2021-04-16,0
CUST0038,29,Male,South,Bachelor,Salaried,61000,14500,Car,null,1,43,28.7,2022-08-30,0
CUST0039,51,Female,East,Master,Salaried,119000,34000,Home,770,0,87,21.2,2018-02-23,0
CUST0040,46,Male,West,Bachelor,Self-Employed,78000,36000,Business,600,6,52,63.5,2019-11-17,1
CUST0041,25,Female,North,High School,Student,23000,6500,Education,620,3,20,42.8,2024-02-01,0
CUST0042,39,Male,South,Master,Salaried,104000,26000,Medical,742,1,73,23.9,2020-03-22,0
CUST0043,34,Female,East,Bachelor,Salaried,70000,16500,Personal,698,2,55,30.6,2021-12-09,0
CUST0044,60,Male,West,Bachelor,Retired,39000,9500,Medical,630,4,24,46.2,2017-09-15,1
CUST0045,28,Female,North,Master,Salaried,90000,20000,Home,755,0,66,19.8,2019-05-04,0
CUST0046,42,Male,South,High School,Self-Employed,64000,31000,Business,590,5,41,55.4,2022-05-18,1
CUST0047,37,null,East,Bachelor,Salaried,75000,17500,Car,710,1,59,27.6,2021-07-07,0
CUST0048,53,Female,West,PhD,Salaried,165000,42000,Home,820,0,94,18.1,2018-01-13,0
CUST0049,24,Male,North,High School,Unemployed,20000,7000,Personal,550,7,11,69.4,2023-12-20,1
CUST0050,45,Female,South,Master,Salaried,null,29000,Home,735,1,79,25.7,2020-09-06,0
CUST0051,33,Male,East,Bachelor,Self-Employed,81000,23000,Business,675,3,62,39.3,2022-02-14,0
CUST0052,56,Female,West,Bachelor,Retired,44000,10500,Medical,665,2,null,34.2,2017-12-31,0
CUST0053,30,Male,North,Master,Salaried,99000,24000,Car,765,0,71,20.9,2019-10-28,0
CUST0054,41,Female,South,Bachelor,Salaried,77000,18000,Education,705,1,54,26.8,2021-06-03,0
CUST0055,48,Male,East,High School,Self-Employed,59000,28000,Business,605,6,38,60.1,2020-01-26,1
CUST0056,26,Female,West,Bachelor,Student,27000,7500,Education,650,2,23,38.7,2024-03-10,0
CUST0057,64,Male,North,Master,Retired,52000,13000,Medical,680,1,35,29.4,2016-07-21,0
CUST0058,35,Female,South,Bachelor,Salaried,73000,16800,Personal,692,null,50,32.2,2022-11-12,0
CUST0059,43,Male,East,PhD,Salaried,175000,47000,Home,825,0,102,16.5,2018-06-02,0
CUST0060,29,Female,West,High School,Unemployed,31000,12000,Car,570,5,17,54.8,2023-01-18,1
CUST0061,38,Male,North,Bachelor,Salaried,79000,19000,Home,715,1,64,24.1,2021-02-25,0
CUST0062,47,Female,South,Master,Self-Employed,116000,39000,Business,730,2,83,37.9,2019-04-09,0
CUST0063,32,Male,East,Bachelor,Salaried,69000,15800,Medical,685,2,46,33.5,null,0
CUST0064,57,Female,West,High School,Retired,36000,9000,Personal,620,4,22,48.6,2017-11-24,1
CUST0065,27,Male,North,Bachelor,Salaried,60000,14000,Education,670,1,37,27.9,2022-04-02,0
CUST0066,40,Female,South,Master,Salaried,102000,null,Home,750,0,77,22.5,2020-07-19,0
CUST0067,52,Male,East,Bachelor,Self-Employed,89000,41000,Business,625,5,61,57.6,2019-03-05,1
CUST0068,23,Female,West,High School,Student,22000,5500,Education,610,3,19,43.3,2024-05-01,0
CUST0069,44,Male,North,PhD,Salaried,250000,90000,Home,840,0,130,14.2,2016-02-17,0
CUST0070,36,Female,South,Bachelor,Salaried,74000,17000,Car,700,1,52,28.9,2021-10-14,0
CUST0071,50,Male,East,Master,Salaried,121000,35000,Home,775,0,88,20.6,2018-09-29,0
CUST0072,31,Female,West,Bachelor,Self-Employed,85000,26000,Business,null,3,65,41.4,2022-12-04,0
CUST0073,46,Male,North,High School,Unemployed,null,16000,Personal,545,8,9,72.8,2020-05-23,1
CUST0074,28,Female,South,Master,Salaried,93000,21500,Education,760,0,68,19.1,2019-07-08,0
CUST0075,39,Male,East,Bachelor,Salaried,82000,20000,Medical,708,2,60,null,2021-08-26,0
CUST0076,55,Female,West,PhD,Self-Employed,195000,65000,Business,785,1,111,29.8,2017-01-12,0
CUST0077,25,Male,North,High School,Student,19000,6000,Education,580,4,14,51.9,2024-06-06,1
CUST0078,42,Female,South,Bachelor,Salaried,78000,18500,Car,702,1,57,27.1,2020-08-16,0
CUST0079,61,Male,East,Master,Retired,47000,11000,Medical,640,3,29,39.6,2016-12-20,0
CUST0080,34,Female,West,Bachelor,Salaried,71000,16200,Personal,695,2,48,31.7,2022-10-30,0
